name,latitude,longitude
Kaitaia,-35.067,173.287
Leigh,-36.273,174.796
Whangarei,-35.769,174.364
Auckland,-36.86813,174.77063
Thames,-37.21522,175.4503
Tauranga,-37.67239,176.19671
Hamilton,-37.865,175.336
Whakatane,-37.92607,176.91756
Gisborne,-38.661,177.986
Rotorua,-38.11065,176.31756
Tokoroa,-38.23722,175.80417
Taupo,-38.74139,176.08251
New_Plymouth,-39.012,174.181
Napier,-39.468,176.872
Hastings,-39.648,176.841
Wanganui,-39.93882,175.04496
Waipukurau,-39.99944,176.53528
Palmerston_North,-40.325,175.611
Masterton,-40.975,175.638
Levin,-40.622,175.257
Paraparaumu,-40.90573,174.9842
Wellington,-41.322,174.804
Picton,-41.27139,174.21361
Blenheim,-41.52,173.872
Nelson,-41.299,173.226
Kaikoura,-42.44444,173.83333
Greymouth,-42.46022,171.19157
Hokitika,-42.716,170.988
Christchurch,-43.53074,172.60769
Ashburton,-43.905,171.805
Twizel,-44.00173,170.44319
Timaru,-44.305,171.225
Oamaru,-44.973,171.081
Lauder,-45.0401,169.68419
Queenstown,-45.024,168.737
Alexandra,-45.25366,169.39205
Dunedin,-45.878,170.513
Gore,-46.115,168.887
Invercargill,-46.413,168.317
Whakapapa,-39.243,175.558
Turoa,-39.301,175.533
Manganui,-39.293,174.107
Rainbow,-41.871,172.859
Hanmer_springs,-42.53433,172.85098
Mt_hutt,-43.495,171.544
Roundhill,-43.827,170.676
Ohau,-44.221,169.766
Treble_cone,-44.629,168.878
Cardrona,-44.872,168.954
Coronet_peak,-44.972,168.739
The_remarkables,-45.057,168.822
Kaka_point,-46.29282,169.7315
Paihia,-35.183,173.926
Whenuakite,-36.90981,175.74248
Muriwai,-36.8027,174.57349
East_Cape,-37.7167,178.71671
Te_Kuiti,-38.33356,175.1534
Taumarunui,-38.889,175.332
Wairoa,-39.017,177.413
Waiouru,-39.44625,175.65787
Hawera,-39.6117,174.2917
Castle_Point,-40.88889,176.5
Takaka,-40.86364,172.80568
Westport,-41.737,171.579
Reefton,-42.117,171.86
Waipara,-43.07026,172.65344
Franz_Josef,-43.36548,170.13428
Haast,-43.861,169.007
Wanaka,-44.725,169.243
Milford_Sound,-44.67373,167.9221
Te_Anau,-45.42214,167.71788
Middlemarch,-45.51814,170.13561
Hanmer_springs_S,-42.446,172.729